id_customer,first_name,last_name,model,brand,year,CPF,gender,license_plate,priority,affected_system
97,Doria,Tredget,2500,Ram,2011,2268537609,Female,WBASP0C58DC281784,true,bodywork
98,Aymer,De Angelo,F150,Ford,2008,5782570075,Male,JN8AZ2NC4F9046156,false,motor
99,Kristos,Petche,Cooper Countryman,MINI,2012,5120514545,Male,1G6DH5E57C0577739,false,bodywork
100,Dun,Plose,Concorde,Chrysler,2002,7029641108,Male,SALWR2VF5FA170858,false,motor
101,Julian,Ambrosi,Mustang,Ford,2009,2627566229,Male,2C3CCAKG5EH705310,true,steering
102,Lizabeth,Tookill,Grand Prix,Pontiac,2001,7698679934,Female,1C4NJCBA2FD201846,true,motor
103,Clare,Burniston,Tiguan,Volkswagen,2009,8116383213,Male,WBAUN1C56CV901393,true,motor
104,Orrin,Velasquez,Cube,Nissan,2010,9987141595,Male,1FTEX1E8XAF921563,false,motor
105,Mina,Monkleigh,Swift,Suzuki,1997,4215500486,Female,1GYFC26299R244349,false,bodywork
106,Cristina,Sandlin,M,Infiniti,2004,3077484277,Female,1FTEW1E86AF685173,true,motor
107,Rip,Castagnet,Eos,Volkswagen,2011,3327097798,Male,1FTEW1CM9CF140085,true,steering
108,Murial,Fallens,Q,Infiniti,1997,5912333000,Female,WA1CV74LX7D193802,false,motor
109,Jeanna,Jayne,911,Porsche,1985,7002428241,Female,SCBBP93W19C457326,true,steering
110,Pauletta,Chittock,Biturbo,Maserati,1985,1199664960,Female,ZFBCFADH9FZ505401,false,bodywork
111,Barr,Sprackling,Thunderbird,Ford,1977,4255004439,Male,2HNYD18441H352560,true,steering
112,Lind,Filipiak,Type 2,Volkswagen,1989,8098781135,Male,WAUHFAFL7DN206916,false,bodywork
113,Carmen,Durrad,9-3,Saab,2012,5182854641,Female,3D4PG6FV9AT964880,true,motor
114,Honey,Spary,GS,Lexus,2010,3022860919,Female,3D73M3HL8BG478205,true,steering
115,Nye,Cusack,RDX,Acura,2009,0249392062,Male,WBASN2C54DC996305,true,motor
116,Daron,Teaser,Cabriolet,Audi,1995,7163943881,Female,ZFF60FCA2A0752996,false,motor
117,Dewie,Juliano,R-Class,Mercedes-Benz,2009,7129266449,Male,WBAVT13556K030681,false,steering
118,Genevieve,Sewart,300,Chrysler,2005,6959577349,Female,55SWF4JB4FU719129,false,bodywork
119,Devi,Grimwade,Taurus,Ford,1991,7193278428,Female,JTHFF2C21E2241092,true,bodywork
120,Cori,Brimmacombe,Corvette,Chevrolet,1978,0536460485,Female,KM8NU4CC6CU305258,true,motor
121,Merwyn,Bittany,LeMans,Pontiac,1968,3749464936,Male,4USBT53534L693892,false,motor
122,Dante,Pettko,V8 Vantage,Aston Martin,2008,0406495297,Male,JTHKD5BH4B2893602,false,steering
123,Linette,Carstairs,Entourage,Hyundai,2009,0489611117,Female,5GADV23L05D550501,false,steering
124,Gael,McLauchlin,GS,Lexus,2000,6601331740,Male,1N4AL2AP0BC627629,true,steering
125,Heinrik,Sullivan,E350,Ford,2009,5561070479,Male,1GTN1UEH8FZ106953,false,steering
126,Terence,Feechan,Tucson,Hyundai,2008,3768996875,Male,WDDEJ7GB0DA925080,true,steering
127,Dean,Doornbos,Cabriolet,Audi,1994,7678086512,Male,1N6AF0KY4FN826932,true,steering
128,Sib,Mantrup,Somerset,Buick,1986,6718130761,Female,2G4GR5EC8B9211164,true,motor
129,Shell,Revening,Windstar,Ford,2003,0911640614,Female,WAUNE78P18A302689,false,bodywork
130,Dickie,Pybus,S10 Blazer,Chevrolet,1994,6516001855,Male,WA1WMAFE1FD585769,false,motor
131,Tildy,Attewill,Tundra,Toyota,2010,3032144612,Female,WA1WKAFP9CA037412,true,steering
132,Sophey,Chotty,Safari,GMC,2000,6744262629,Female,WAUAF98E27A964690,true,bodywork
133,Alverta,Pannaman,Grand Cherokee,Jeep,2009,0283060611,Female,JH4NA21682T683597,false,steering
134,Eveleen,Bifield,G-Class,Mercedes-Benz,2002,1356149839,Female,WBAUN7C51CV886062,true,motor
135,Erda,Davidai,XK Series,Jaguar,2001,2521642800,Female,WBA5M2C54ED231316,false,motor
136,Marrissa,Brotherick,MX-5,Mazda,1994,6087431500,Female,JTDJTUD38ED931692,false,bodywork
137,Ches,Mattei,Matrix,Toyota,2008,2185303899,Male,WAUVC58E65A020441,false,bodywork
138,Gabriella,Deniske,Suburban,Chevrolet,2010,6512781325,Female,1G6KE54Y92U522468,true,steering
139,Vaclav,Nestle,Firebird,Pontiac,1998,8947204196,Male,WBANV1C54AC449621,false,motor
140,Olly,Bellino,Suburban 2500,Chevrolet,1999,1365868419,Male,JM1NC2JF9B0890741,true,bodywork
141,Frans,Esson,Express 1500,Chevrolet,2004,7777143336,Male,YV440MBC1F1485300,true,steering
142,Cyril,Poytres,Grand Prix,Pontiac,1970,5698589305,Male,WAUPEBFM8CA425547,true,bodywork
143,Arnie,Headon,Nubira,Daewoo,2000,9780023356,Male,WBAWL1C59AP592244,false,bodywork
144,Ignaz,Pelzer,Monterey,Mercury,2007,3309170209,Male,3C4PDCABXFT676536,false,motor
145,Ebenezer,Carhart,Camry,Toyota,1994,8793042655,Male,5N1AR1NB8BC348605,true,steering
146,Morry,Georgelin,Taurus,Ford,1991,5535240451,Male,2T1BURHE9FC034888,false,bodywork
147,Hannis,Gaukroger,Forester,Subaru,2006,6478580490,Female,2C3CDXEJ8DH964038,true,steering
148,Arlin,Olive,Sportvan G30,Chevrolet,1993,5591151930,Male,WDDGF4HB9CR922668,true,motor
149,Em,Crow,Ram Van B150,Dodge,1992,8331666038,Female,SCFFBCBD6AG737462,true,motor
150,Cristine,Gibbonson,Savana 3500,GMC,2009,3630542794,Female,JN8AF5MR7DT112358,true,motor
151,Al,Corcoran,Maxima,Nissan,2003,9291784583,Male,WBABN53461J673745,true,motor
152,Ericha,Record,Mark LT,Lincoln,2006,5805724650,Female,5N1AN0NW6FN589856,false,steering
153,Tadeo,Skeath,Cavalier,Chevrolet,2005,7991030911,Male,1N6AD0CU3EN329483,true,motor
154,Hamnet,Jopling,Vision,Eagle,1996,6853178106,Male,4JGDA0EB9FA241238,false,bodywork
155,Randie,Gepheart,LS,Lexus,1999,9397208861,Male,1D7RW7GP9AS509243,true,steering
156,Goldina,Ellgood,9-2X,Saab,2006,9989204055,Female,3D4PG4FB7AT478062,false,motor
157,Siffre,O'Shea,Sebring,Chrysler,2006,6443421841,Male,1G6KD57YX8U247006,false,motor
158,Hastings,Grzegorczyk,A4,Audi,2000,1008929166,Male,1GD22XEG3FZ684334,false,motor
159,Bibby,Greenley,Impala,Chevrolet,2009,6626154583,Female,1FTSW2A53AE307340,false,motor
160,Carolus,O'Hannay,Outlander Sport,Mitsubishi,2011,4976994066,Male,WBAYB6C59DD393824,false,bodywork
161,Federica,Besnard,Diablo,Lamborghini,1994,4697939581,Female,3GTXKYEJ0AG209535,true,motor
162,Gunar,Hartnell,Continental,Bentley,2005,2392180474,Male,WBAEN33435E137688,false,motor
163,Delphine,Maddaford,GTI,Volkswagen,2002,3912925402,Female,WDDHF2EB2BA471934,false,steering
164,Juanita,Meakin,Ram,Dodge,1994,8013560767,Female,3GTU2YEJ7CG101726,true,bodywork
165,Onfre,Pollastrino,Continental,Lincoln,1989,2227756500,Male,WAUKH78E38A652138,false,bodywork
166,Horacio,Boissier,Mustang,Ford,1999,6640306891,Male,WAUBF98E88A303624,false,motor
167,Michele,Goddert.sf,Club Wagon,Ford,1996,8161785066,Male,5TDBW5G19BS719394,false,motor
168,Electra,Postle,EXP,Ford,1985,0016719557,Female,1G4HP52K034976413,false,steering
169,Paten,MacAndrew,S90,Volvo,1998,0329761250,Male,JA4AP3AU5BZ433180,true,motor
170,Darci,Riceards,TT,Audi,2000,3683780800,Female,1D4PT4GK8BW012159,true,steering
171,Massimiliano,Baybutt,S-Series,Saturn,2000,6650163872,Male,1GKS1EEF3CR230085,true,bodywork
172,Lyle,Brahmer,Accent,Hyundai,2007,9624060398,Male,1C3CDFCB1FD994861,false,motor
173,Jone,Graffin,Quattroporte,Maserati,1985,8885440665,Male,2T1BPRHE2FC929064,true,motor
174,Banky,Borgnol,Quest,Nissan,2005,6175305787,Male,WBAVA37597N656763,true,motor
175,Morlee,Baitey,Cordia,Mitsubishi,1984,4376959855,Male,5N1AT2ML0FC788213,false,steering
176,Roch,Jolliffe,Montero Sport,Mitsubishi,2001,2983850676,Female,2G4WS52J521874273,false,steering
177,Andris,Blowing,D150,Dodge,1993,2705327495,Male,JN1CV6FE5FM682172,true,bodywork
178,Lexi,Warsap,Wrangler,Jeep,2002,1512126462,Female,2C3CCAST6CH212973,false,bodywork
179,Friedrich,Tucker,G,Infiniti,1996,9299120919,Male,WAUFGBFB1BN954642,true,bodywork
180,Augustine,Millson,430 Scuderia,Ferrari,2008,9551502868,Male,WAUKH78E48A232128,false,steering
181,Lauretta,Truggian,Navigator,Lincoln,2001,9010939995,Female,2G4GX5GV4B9474904,true,motor
182,Terrill,McGrayle,RX,Lexus,2005,0692219242,Male,WDDEJ7GB1DA551739,true,steering
183,Alissa,Hearthfield,LeBaron,Chrysler,1995,6752924392,Female,1GYS4HEF8CR975221,true,bodywork
184,Edsel,Guilliland,Tiburon,Hyundai,1999,6545723480,Male,WA1WGBFP1EA700126,false,steering
185,Charmine,Dechelle,Ram Van 3500,Dodge,1999,4472368641,Female,WBANA73514B901405,false,bodywork
186,Sybille,Vignaux,Highlander,Toyota,2007,7802579228,Female,WUARL48H36K400859,true,bodywork
187,Nevil,Dosdale,Mirage,Mitsubishi,1995,2019448459,Male,1G4HP54K314145823,false,steering
188,Almira,Loisi,Passat,Volkswagen,1987,0243956762,Female,1FTEW1E85AF918038,false,bodywork
189,Lyndell,Chomicki,LX,Lexus,2006,2490442570,Female,WBAVM1C59EV100564,false,bodywork
190,Shandie,Wasiel,Tribute,Mazda,2003,2694477003,Female,YV126MFBXF1434639,false,steering
191,Margo,Retallack,GTI,Volkswagen,1991,2761524136,Female,3GTU1YEJ0BG595025,true,motor
192,Essie,Gocher,Durango,Dodge,2001,6859055901,Female,WAUBNAFB8BN722926,true,steering
193,Theobald,Stoop,Xterra,Nissan,2011,2770337610,Male,5FPYK1F60EB539510,true,bodywork
194,Diana,Monkman,Boxster,Porsche,2004,8784459506,Female,WBA3A5C58FF661955,false,steering
195,Connie,Rowlatt,RAV4,Toyota,2003,2224001533,Female,2G4WS55J531933335,false,motor
196,Marylynne,Bradnocke,SRX,Cadillac,2006,7592492091,Female,1D7RV1CT5BS883482,true,bodywork
197,Dorian,Dyster,Jetta,Volkswagen,2001,6455390172,Male,1FMEU5BE6AU802135,false,bodywork
198,Cher,Bryce,Miata MX-5,Mazda,1999,6817183952,Female,1G4HD57267U391911,true,steering
199,Hugo,Rowell,Fortwo,Smart,2012,2517007543,Male,1GYS4JEFXCR778591,false,steering
200,Melany,Buney,Topaz,Mercury,1984,3208104855,Female,WA1BV74L17D283495,false,bodywork
201,Viva,Bleakley,Explorer,Ford,2012,9701017730,Female,WBSWL9C57AP113104,true,steering
202,Elle,Piggins,Edge,Ford,2009,2948665485,Female,WAUFGBFC2DN646701,false,motor
203,Renard,Shirer,XJ Series,Jaguar,2001,9526446631,Male,WVGAV3AX4EW169554,true,motor
204,Annecorinne,Sparrow,Continental,Lincoln,1998,9350261472,Female,1G6DL5E30C0509229,true,steering
205,Ellene,Drummer,TT,Audi,2000,7714010002,Female,NM0GE9E75F1650355,false,steering
206,Florette,Rizon,Sable,Mercury,1994,9747008033,Female,1N6BF0KM1FN486706,false,steering
207,Tamra,Glenwright,Canyon,GMC,2007,7069008007,Female,WBSBR93432P743918,false,steering
208,Amby,Blundan,Econoline E150,Ford,1999,4129452126,Male,19UUA9F51DA169743,true,motor
209,Darrell,Keppin,4Runner,Toyota,1996,8184324138,Male,1FTNF2A57AE325384,false,motor
210,Winn,Wiggam,HHR,Chevrolet,2009,3512836976,Male,1N4AL3AP4EC940970,true,steering
211,Jaquith,Imbrey,Crown Victoria,Ford,1996,2277052728,Female,WBAYB6C56FD691752,true,motor
212,Jaclin,Beebe,Sable,Mercury,1987,1723995665,Female,WVWDB7AJ7EW383693,true,motor
213,Iver,Gubbin,MPV,Mazda,2002,1686084072,Male,WBA3B9C59EP909417,false,steering
214,Carolan,Humpherson,Th!nk,Ford,2000,5729705565,Female,WBAWV13527P725042,true,bodywork
215,Wilton,Murphy,Prizm,Geo,1992,1226704719,Male,5J8TB18219A894506,false,steering
216,Domeniga,Gooke,Corvette,Chevrolet,1998,6489396777,Female,5NPET4AC7AH071827,false,motor
217,Cly,Stowgill,928,Porsche,1991,2520872306,Male,2C3CA7CW0AH883182,false,bodywork
218,Les,Olivi,XL7,Suzuki,2006,4836779766,Male,1GYS4KEF8CR099988,false,motor
219,Husain,Minto,Camry Solara,Toyota,2006,1751245799,Male,TRUWC28N211411026,true,steering
220,Bonita,Luchetti,Town Car,Lincoln,2003,1747434795,Female,3C3CFFFH9CT810699,false,steering
221,Olimpia,Witton,Journey,Dodge,2012,7684237772,Female,WBAWV53589P329580,true,steering
222,Amil,Orteu,Yaris,Toyota,2007,1549830791,Female,WAUAF78E45A223488,true,motor
223,Suzanna,Scemp,FR-S,Scion,2013,9981001619,Female,WAUNF78P38A597873,false,motor
224,Alameda,Olman,Ram Wagon B350,Dodge,1993,6498056851,Female,WBASN0C56DD242675,false,steering
225,Dew,Donnachie,XL7,Suzuki,2006,8524265787,Male,JH4KB26569C767931,true,bodywork
226,Ninetta,Jacobssen,Lancer Evolution,Mitsubishi,2010,6780833770,Female,WAUFFAFLXBA922883,true,steering
227,Egan,Rootham,X5,BMW,2004,5299558295,Male,1FTNF2A52AE550571,true,bodywork
228,Ruben,Tinn,Golf,Volkswagen,1989,1258377896,Male,JH4KB16527C363774,true,bodywork
229,Winston,Rooze,Sportage,Kia,2008,1503645002,Male,SALGS2EF4EA077059,true,bodywork
230,Anton,Vecard,Catera,Cadillac,1999,4885495822,Male,1GYUCCEF3AR127503,true,motor
231,Lauryn,Longman,F250,Ford,1998,2785739337,Female,1D4PT7GX7BW444996,true,bodywork
232,Guenevere,Bridgman,Z3,BMW,1999,4373105170,Female,1G6AB5S30F0311054,true,bodywork
233,Skippie,Ship,Montero Sport,Mitsubishi,2003,2078667870,Male,WBAWC73598E792405,false,bodywork
234,Leonelle,Avrasin,Savana 2500,GMC,2007,3843672911,Female,2C3CDXDT1DH332534,true,bodywork
235,Helena,Hassard,Matrix,Toyota,2004,1944515992,Female,2T1BU4EE8BC217815,true,steering
236,Travus,Jonson,Eurovan,Volkswagen,1993,5737906329,Male,5N1AR1NB7BC739731,false,motor
237,Adrian,Moohan,Express 1500,Chevrolet,2001,2940772630,Male,TRUDD38J691435333,false,steering
238,Dominique,Waite,LeBaron,Chrysler,1995,8975180794,Male,1GYS4JEF5BR899981,false,motor
239,Anetta,Jeyness,Exige,Lotus,2007,9288811176,Female,3C63DPAL0CG666012,true,motor
240,Eben,Nettle,Diablo,Lamborghini,2000,4510696418,Male,KNAFX6A87E5758907,true,motor
241,Brandice,Staniford,G-Series 2500,Chevrolet,1996,8836903142,Female,WAUBVAFA3AN354175,false,motor
242,Bram,Gregory,G-Class,Mercedes-Benz,2012,4563958425,Male,WAUKF98E45A308315,false,steering
243,Burk,Sarah,MKX,Lincoln,2011,7092072271,Male,3GYFNEEY5AS024905,false,steering
244,Bryn,Yousef,Cougar,Mercury,1992,0430470924,Male,WAUDF48H79K629495,true,motor
245,Zita,Burwell,Explorer Sport Trac,Ford,2001,7042303466,Female,WBAYE0C58DD563398,false,steering
246,Tory,McCrackem,Breeze,Plymouth,1999,8774203355,Female,JN8AF5MR4CT231337,true,steering
247,Griswold,Lage,Freelander,Land Rover,2004,0086242989,Male,5UXZV8C57CL398940,false,motor
248,Christophorus,Fippe,S80,Volvo,2005,7740381497,Male,KMHHT6KD7DU515925,false,steering
249,Gearard,Roantree,D350 Club,Dodge,1993,5034936038,Male,5N1AT2MK5FC059342,false,motor
250,Joela,McGown,944,Porsche,1983,5621420411,Female,WAUKFAFL1BA048776,true,motor
251,Chancey,Sterre,Bronco,Ford,1988,7243407641,Male,WBAFV3C58FD761619,true,bodywork
252,Elsinore,Woehler,Vision,Eagle,1993,9305657443,Female,SALVP1BG6FH201177,false,motor
253,Peder,Westmarland,F250,Ford,1994,6745436655,Male,WAULT68E72A459592,true,bodywork
254,Rowe,Hempshall,Fox,Volkswagen,1990,5820088352,Female,WAUKF98E38A609484,false,bodywork
255,Rolland,Sango,E350,Ford,2012,5282917017,Male,WBAWL1C55AP068069,false,bodywork
256,Pacorro,Denisyuk,GT-R,Nissan,2013,8063950909,Male,WBA3N9C50EF200033,true,bodywork
257,Bonnee,Kindon,Accord,Honda,1993,9189872983,Female,5J8TB2H57CA790464,false,steering
258,Ezechiel,Masham,80,Audi,1991,9846800215,Male,1G6KE54Y05U055168,true,bodywork
259,Theresa,Gollin,Camaro,Chevrolet,1999,4999354209,Female,1GYS3CEF9DR511197,false,steering
260,Ode,De Bernardis,riolet,Audi,1994,3909791220,Male,JM1NC2PF1E0793545,false,steering
261,Garth,Groven,Venture,Chevrolet,1997,1995165980,Male,JTDJTUD3XED740114,false,steering
262,Shaughn,Zupa,Beetle,Volkswagen,1967,2429411539,Male,WAUDF68E85A134532,false,motor
263,Dennet,Charrette,Caravan,Dodge,1992,9735312735,Male,WA1VMAFE3BD033552,false,steering
264,Luciano,Sweetlove,Montero,Mitsubishi,1994,1646836669,Male,WAUKF78P49A949332,false,bodywork
265,Carena,Lidgett,Tahoe,Chevrolet,2012,5971240080,Female,1G6DC8E51C0743916,false,steering
